LAMMPS output created by EMC v9.4.4, build Jul 29 2020 13:53:09

         150  atoms
         100  bonds
          50  angles

           2  atom types
           1  bond types
           1  angle types

             0    11.44780243  xlo xhi
             0    11.44780243  ylo yhi
             0    11.44780243  zlo zhi

Masses

       1    1.00797  # hw
       2   15.99940  # o*



Bond Coeffs

       1    0.97000  563.28000 -1428.22000 1902.12000  # hw,o*

Angle Coeffs

       1  103.70000   49.84000  -11.60000   -8.00000  # hw,o*,hw

BondBond Coeffs

       1   -9.50000    0.97000    0.97000  # hw,o*,hw

BondAngle Coeffs

       1   22.35000   22.35000    0.97000    0.97000  # hw,o*,hw

Atoms

       1       1   2 -0.7982   1.8632105908   7.2970109134   4.6369187611  # o*
       2       1   1  0.3991   1.2274893973   7.7356790767   5.2048434664  # hw
       3       1   1  0.3991   1.7556906368   6.4010174151   5.0812929462  # hw
       4       2   2 -0.7982   4.9868599637   7.1759113682  10.3839996191  # o*
       5       2   1  0.3991   4.6069540560   6.2657241679  10.2781269278  # hw
       6       2   1  0.3991   4.0860967127   7.4148976879  10.6463382638  # hw
       7       3   2 -0.7982   4.2766617503   7.3100747846   6.0164267955  # o*
       8       3   1  0.3991   4.7457894337   6.5325458700   5.7293491179  # hw
       9       3   1  0.3991   4.6906066335   7.9255626214   5.3566418047  # hw
      10       4   2 -0.7982   7.6911463930   6.9562387689   8.8630694452  # o*
      11       4   1  0.3991   6.9318012471   6.3867908530   8.7943484296  # hw
      12       4   1  0.3991   6.9129864251   6.8616546600   8.2593061503  # hw
      13       5   2 -0.7982   8.3835860360  10.9615784449   5.2816549696  # o*
      14       5   1  0.3991   8.8196225397   0.1933575886   5.8429668363  # hw
      15       5   1  0.3991   7.8625760927  10.9112826892   4.4476108479  # hw
      16       6   2 -0.7982   6.0313516837   0.8162165709   4.6753000409  # o*
      17       6   1  0.3991   5.8913891605   0.2311434972   3.9960974155  # hw
      18       6   1  0.3991   6.0712889289   0.4337659498   3.8031504586  # hw
      19       7   2 -0.7982   6.7523777344   3.0210965987   7.8798972691  # o*
      20       7   1  0.3991   6.4850129277   3.7919675178   8.3909206591  # hw
      21       7   1  0.3991   6.0328520459   2.9701926244   8.5377782360  # hw
      22       8   2 -0.7982   3.7519414861   1.7386808802   9.0782861205  # o*
      23       8   1  0.3991   3.7152837074   2.2021423398   8.2577579969  # hw
      24       8   1  0.3991   4.3960829742   1.1161406028   8.6584138206  # hw
      25       9   2 -0.7982  11.4398538154   1.0310060472   5.6198776092  # o*
      26       9   1  0.3991   0.5165888178   1.6806128828   6.0736972217  # hw
      27       9   1  0.3991  10.4785691495   1.2556110399   5.5899745602  # hw
      28      10   2 -0.7982   3.9490999387   0.8875161294   2.1865615252  # o*
      29      10   1  0.3991   4.2121217400   0.1368172245   2.8126047973  # hw
      30      10   1  0.3991   4.8938206186   0.8372781863   2.3309489012  # hw
      31      11   2 -0.7982   5.4772349285   3.4368381369   8.7583252269  # o*
      32      11   1  0.3991   5.6814850488   2.5595468537   8.3305029042  # hw
      33      11   1  0.3991   4.5894452238   3.7341693311   8.4890875562  # hw
      34      12   2 -0.7982   3.4994565416   2.1108167818   5.9543880058  # o*
      35      12   1  0.3991   2.9846301161   1.3134784209   6.2238283644  # hw
      36      12   1  0.3991   4.0624495329   2.3363464948   5.1871831401  # hw
      37      13   2 -0.7982   1.3854689266   4.0128784741   2.9840231730  # o*
      38      13   1  0.3991   1.6098552214   3.4271623017   2.2273829392  # hw
      39      13   1  0.3991   1.5695201629   4.4151057272   2.0880532667  # hw
      40      14   2 -0.7982   8.2242121210   2.7745675247   7.0868427953  # o*
      41      14   1  0.3991   7.8995134637   3.2312034042   7.8391397829  # hw
      42      14   1  0.3991   7.3082740217   2.9688606863   6.7369301017  # hw
      43      15   2 -0.7982   4.3254877182   5.6745190217   7.6213155020  # o*
      44      15   1  0.3991   4.5151649817   6.3542662999   8.2972268914  # hw
      45      15   1  0.3991   3.9103573830   4.9529726665   7.0440907113  # hw
      46      16   2 -0.7982   3.8508879080   9.2114741997  10.2089785164  # o*
      47      16   1  0.3991   3.4659028743   9.0702537927  11.1000152060  # hw
      48      16   1  0.3991   4.0307332875   9.0661995951   9.2626860116  # hw
      49      17   2 -0.7982   3.6762627419   7.6871683341   6.9925816747  # o*
      50      17   1  0.3991   4.1093359219   7.3726263079   7.8396679821  # hw
      51      17   1  0.3991   3.4191595912   6.7342268683   6.8572753812  # hw
      52      18   2 -0.7982   5.6625685195   2.4639642605  10.2384481214  # o*
      53      18   1  0.3991   6.2530396456   3.0951907159  10.7413608395  # hw
      54      18   1  0.3991   5.7715116966   1.9510433819   9.3934199938  # hw
      55      19   2 -0.7982   1.7633411509   0.9297649871   3.5986457151  # o*
      56      19   1  0.3991   1.5607945818   1.8341719318   3.8979092376  # hw
      57      19   1  0.3991   0.9519065082   1.2050019434   3.2050644791  # hw
      58      20   2 -0.7982   1.7481353758   0.0545082349   6.4106122335  # o*
      59      20   1  0.3991   1.7132592286   0.8067759426   5.8000741556  # hw
      60      20   1  0.3991   2.1720469439   0.0500053431   7.2658348059  # hw
      61      21   2 -0.7982   9.7268461495   2.2494388113   2.9881579960  # o*
      62      21   1  0.3991   9.9582730116   3.1547244008   3.2949265909  # hw
      63      21   1  0.3991   9.4716449439   2.4993026901   3.8899742983  # hw
      64      22   2 -0.7982  10.6468597963   1.8213825807  10.5669016942  # o*
      65      22   1  0.3991  10.4277532679   1.1034429638  11.1861228289  # hw
      66      22   1  0.3991  10.4372138357   2.0745777651   9.6606543788  # hw
      67      23   2 -0.7982   2.2112211096  10.3849983731   1.9697599346  # o*
      68      23   1  0.3991   1.7402783442   9.5488355310   1.7588461002  # hw
      69      23   1  0.3991   1.9320780429   9.5955278779   2.4513741638  # hw
      70      24   2 -0.7982   5.1338102685   3.1894827031   1.2918595811  # o*
      71      24   1  0.3991   5.4604305141   3.3392040663   2.1713889973  # hw
      72      24   1  0.3991   6.0290002308   3.0558485379   1.6655477883  # hw
      73      25   2 -0.7982   9.3258064868   9.4823862130  11.4243294536  # o*
      74      25   1  0.3991  10.0832372034   9.7379757420  10.8027141052  # hw
      75      25   1  0.3991   8.7834883967   8.6782358331   0.1723529613  # hw
      76      26   2 -0.7982   4.8120445476   2.6635049867   9.3090425691  # o*
      77      26   1  0.3991   5.2682999646   3.0658385907   8.6008496876  # hw
      78      26   1  0.3991   4.0329739972   2.2113078650   9.0179269281  # hw
      79      27   2 -0.7982   8.5924858618   7.4884555860   9.2337909134  # o*
